area_name,year,analysis
Kudasan,2021,Built-up area: 50.2% (high growth class) | Built-up increased by 1.9 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.32) | Night-time light intensity is moderate (25.0)
Kudasan,2022,Built-up area: 51.0% (high growth class) | Built-up increased by 0.7 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.32) | Night-time light intensity is moderate (28.5)
Kudasan,2023,Built-up area: 52.7% (high growth class) | Built-up increased by 1.8 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.33) | Night-time light intensity is moderate (30.6)
Kudasan,2024,Built-up area: 52.0% (high growth class) | Built-up decreased by 0.7 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.34) | Night-time light intensity is moderate (37.4)
Lekawada ,2016,Built-up area: 16.2% (low growth class) | First historical year available. | Vegetation cover is low (NDVI 0.21) | Night-time light intensity is low (0.8)
Lekawada ,2017,Built-up area: 17.5% (low growth class) | Built-up increased by 1.3 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.43) | Night-time light intensity is low (1.0)
Lekawada ,2018,Built-up area: 18.6% (low growth class) | Built-up increased by 1.1 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.42) | Night-time light intensity is low (1.2)
Lekawada ,2019,Built-up area: 18.6% (low growth class) | Built-up decreased by 0.1 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.38) | Night-time light intensity is low (1.5)
Lekawada ,2020,Built-up area: 19.1% (low growth class) | Built-up increased by 0.5 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.41) | Night-time light intensity is low (1.5)
Lekawada ,2021,Built-up area: 19.9% (low growth class) | Built-up increased by 0.8 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.42) | Night-time light intensity is low (1.6)
Lekawada ,2022,Built-up area: 21.3% (low growth class) | Built-up increased by 1.4 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.42) | Night-time light intensity is low (1.7)
Lekawada ,2023,Built-up area: 21.7% (low growth class) | Built-up increased by 0.4 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.41) | Night-time light intensity is low (2.0)
Lekawada ,2024,Built-up area: 21.0% (low growth class) | Built-up decreased by 0.7 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.43) | Night-time light intensity is low (2.2)
Lekawada village,2016,Built-up area: 6.8% (low growth class) | First historical year available. | Vegetation cover is low (NDVI 0.25) | Night-time light intensity is low (1.0)
Lekawada village,2017,Built-up area: 8.2% (low growth class) | Built-up increased by 1.5 percentage points from previous year. | Vegetation cover is high (NDVI 0.50) | Night-time light intensity is low (1.4)
Lekawada village,2018,Built-up area: 9.3% (low growth class) | Built-up increased by 1.1 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.49) | Night-time light intensity is low (1.6)
Lekawada village,2019,Built-up area: 10.1% (low growth class) | Built-up increased by 0.8 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.45) | Night-time light intensity is low (1.8)
Lekawada village,2020,Built-up area: 9.7% (low growth class) | Built-up decreased by 0.4 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.47) | Night-time light intensity is low (1.9)
Lekawada village,2021,Built-up area: 10.7% (low growth class) | Built-up increased by 1.0 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.47) | Night-time light intensity is low (2.2)
Lekawada village,2022,Built-up area: 10.9% (low growth class) | Built-up increased by 0.2 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.46) | Night-time light intensity is low (2.4)
Lekawada village,2023,Built-up area: 11.3% (low growth class) | Built-up increased by 0.4 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.49) | Night-time light intensity is low (3.0)
Lekawada village,2024,Built-up area: 10.3% (low growth class) | Built-up decreased by 1.0 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.49) | Night-time light intensity is low (3.4)
NH-8,2016,Built-up area: 16.4% (low growth class) | First historical year available. | Vegetation cover is low (NDVI 0.27) | Night-time light intensity is low (1.0)
NH-8,2017,Built-up area: 18.4% (low growth class) | Built-up increased by 2.0 percentage points from previous year. | Vegetation cover is high (NDVI 0.50) | Night-time light intensity is low (1.5)
NH-8,2018,Built-up area: 18.4% (low growth class) | Built-up decreased by 0.0 percentage points from previous year. | Vegetation cover is high (NDVI 0.50) | Night-time light intensity is low (2.0)
